Generation,Individual
41,"[5.275999152968106, 5.180549553246681, 5.131400271988259, 2.982989656029562, 2.4364070879322584, 5.9019285947057165, 1.5527708815329202, 4.193062452875692, 6.4790288188873815, 4.72171411023428, 4.669886941958692, 5.274960547034071, 5.208211702042108, 4.766858151765755, 7.024952102812393, 4.41128799859505, 5.079700388865786, 5.681234531920326, 5.12764579545432, 4.901329646782538, 6.286504113418493, 3.8333799910654247, 5.374054981755956, 5.3103156757156595, 5.367562167350629, 4.4203471313513, 4.243618639416687, 6.326249065042154, 4.751614315488506, 6.113088036572855, 4.615726796293483, 5.12114077173916, 6.772458199554482, 6.402578750577454, 5.192971181563124, 6.005343456419597, 4.693449639429147, 4.582006926783143, 4.387935200619171, 4.630994717458433, 4.739607158144173, 6.46022635001562, 4.787933830781874, 5.351501171426319, 5.056178468899102, 3.2873461427114035, 5.906534260605188, 4.995743878987979, 5.653268722620217, 3.2524303383360635, 5.381683341013683, 5.4729051650679, 4.673631038590277, 5.187848935911468, 4.907898384136181, 5.461809185912787, 5.190026647917124, 6.160366862093898, 4.485330637920209, 6.224178176412099, 4.483317986668442, 5.244640865488713, 4.832952835442833, 4.165983315979002, 4.941374765738166, 4.919360188471702, 4.8592632355284975, 3.7883409737721854, 5.224305097794159, 5.757437042117322, 4.672880791586763, 6.058021501572563, 5.8307171014945, 3.3874489333378737, 5.336155954438588, 5.05307327525308, 5.118640605469481, 4.172451371317515, 5.39923197299319, 5.052137415343379, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.1509497544427445]"
42,"[4.519770555114537, 4.959634712907411, 4.725404719773474, 4.626486902290323, 4.576803867670195, 5.581560200024884, 4.188210817202572, 4.610153455827099, 5.076709013272559, 5.3853845072752495, 5.464722454517932, 5.087387319697926, 5.39473062265164, 5.899591036649605, 4.179441432707563, 5.056557109268008, 4.987762603631632, 5.668149174549561, 5.204683991457294, 7.024396299103673, 4.122606146574158, 5.319837769410167, 3.8081863210640705, 4.881567805114235, 5.145393762307641, 5.153394364314457, 5.162815969464701, 6.658374162332423, 4.90354965347812, 4.514446580792235, 4.562601164298136, 5.318095944953355, 4.698447347408141, 5.043512233722327, 5.956524565001103, 6.103401886673886, 5.476004390818662, 4.8153741918194735, 5.094239440069217, 3.8530450214302965, 6.73476506385739, 5.077139863454583, 2.189658629823253, 5.069628642371443, 4.723415168725044, 5.027015645199051, 5.319287704076622, 5.209218365859909, 5.055281307954928, 3.039886459549481, 5.120227213501995, 5.00315769332605, 3.0616874694739193, 5.944967370917987, 6.200779500559035, 5.577415500719214, 5.34494851435062, 4.835155055735334, 4.275014369545344, 5.437253357805002, 4.6126730662532855, 5.694637940470749, 5.563746550641344, 5.36717919144674, 4.139834174183272, 5.980092399222264, 4.704411096778928, 3.9634393184633288, 3.674505789245656, 5.608074085531149, 1.312779550402794, 3.288280063677565, 5.206898790987774, 5.084052975598516, 6.85783008968862, 4.728095212179047, 5.70243405118563, 5.987983659084089, 4.304906106940705, 4.522131523604814, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152, 5.1509497544427445]"
43,"[5.327024925425216, 5.3140620139138806, 5.254049015886791, 6.365533431338121, 6.605508524114868, 5.123766445666733, 6.601813725147724, 4.836317462030278, 5.153653016403253, 4.177290080962421, 5.600271879851756, 6.018551928417021, 5.660556058431366, 4.368153983301197, 4.941258544016314, 4.084216267808784, 6.304745424639634, 4.663875723533336, 5.2129946981611, 5.172585146085101, 6.041325336602164, 4.1588302311937015, 5.542762975525773, 5.914273032608318, 3.902209105041251, 5.239379680655542, 4.667302825766558, 4.981131728975445, 4.8693257965488685, 5.5012515224950915, 5.138987192453346, 4.506686299503299, 3.4481172831865248, 7.5358557539217, 5.299782350302734, 5.053521723331141, 5.610983696294933, 4.455015942404776, 5.406815434410156, 5.740477829116199, 5.248000812454759, 5.837273651613377, 5.037875513040351, 5.449347673069402, 3.0606393320171437, 4.63406456018343, 5.835534751990997, 3.9396751416475793, 6.091437877942249, 4.614789583999867, 5.663131876298562, 4.956524284260654, 5.824548065252683, 4.918398822624475, 4.651342223907648, 4.963456537316017, 6.283092655777384, 4.5028009568084935, 5.149223842836718, 5.180616287279528, 6.325682004403284, 4.777450879996775, 5.40452176033216, 5.406702404485982, 5.188918526076421, 3.459946263511159, 5.58980261060485, 5.4416978191351415, 4.135158831772623, 5.330901300078219, 5.130283586496614, 5.819555331893504, 5.055058426587467, 4.440087415239854, 5.251619422299502, 5.075853545828426, 5.381518831540923, 5.22746225766595, 6.6962204789487, 5.3994597585441415, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172, 5.140521769907152]"
44,"[4.927020019731822, 4.693302823770368, 5.444337319320463, 1.8629340708322073, 5.225530846868616, 4.738879423329786, 4.8948028282375144, 4.612435995980503, 4.601579300045511, 4.523455627666467, 5.330977324227138, 5.004796723079105, 4.651663346432675, 5.444577388965233, 5.052856791435796, 3.4854975275932736, 5.444386827015728, 4.795278127464553, 4.8191485112007655, 5.461654404286755, 5.552488142811276, 4.726519454532806, 5.312407571067736, 5.502096219712868, 6.782070955997954, 5.183041235528672, 6.051804939532971, 5.037731096882501, 4.503057113126478, 5.495622805153741, 4.762837263284025, 5.233210506310793, 3.4922575424487157, 5.380437367294902, 5.592117045365793, 5.452910444107911, 4.659415976498169, 3.699815405602073, 4.1193627819795156, 5.297964073621355, 4.7356190978590185, 5.958057642747633, 6.202007483727325, 5.65066653725777, 4.746804866469614, 5.023837096372727, 5.536627887003229, 5.729157776238667, 5.153598553924701, 6.073053759796251, 5.528777454684823, 4.991403149615146, 4.895215265368796, 5.4470193450827065, 4.634347718183265, 3.5324564367482822, 4.20912834406216, 5.58655089906701, 4.539131184781679, 5.248901878291705, 4.968703797036314, 5.12237223473903, 5.034528380735989, 5.336732844116575, 1.4328941054982045, 5.296467353215657, 5.402209118832797, 6.038651817743809, 5.304035901784796, 4.951008750435317, 4.962401453015941, 4.803568074572217, 5.0608635827618835, 5.753327549409478, 4.321032772836127, 4.513445905333574, 4.5982835323482325, 4.551645933555838, 5.294505749877201, 6.020649851509056, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
45,"[5.328961703851771, 5.639450829870648, 5.805136450330577, 4.882516557922436, 5.2444405018949425, 5.60840076668953, 5.071187553500524, 4.9606488655094285, 5.785109454531644, 5.157320890241928, 5.179864897418816, 5.076113012854002, 5.512830896768752, 5.269424106862927, 5.204740117972765, 4.441485496224036, 3.8554188124876423, 4.140827861951553, 5.564148719049731, 5.007394305456759, 5.254128583444333, 6.439596217728639, 6.469239500581317, 3.1374055822615468, 3.6750733222552343, 5.416068650793266, 5.031226161418741, 5.785962920247713, 5.888735600978604, 3.956922578941569, 4.673583526416903, 4.8020831513164985, 4.014359875934706, 5.373812773450635, 4.405699569683549, 4.880373535521322, 5.888692800356756, 5.211669941901568, 4.857104334322323, 5.380187486125481, 4.860907915753277, 5.618126512116966, 5.657412383750595, 5.46821067016575, 3.4525110453396284, 5.600014575343502, 5.624149152770909, 4.7361684586690584, 3.3036663278486698, 4.871715313785227, 4.971048972177549, 5.243044431845699, 5.6880453880913855, 4.360489355912547, 4.880268541400798, 4.896800824502633, 4.93427826623533, 5.597959442903454, 5.470144948175333, 4.90902153152784, 5.600330957216083, 5.516398974991866, 4.696680329934849, 5.0515011960526515, 5.183153193182871, 5.156559581543135, 4.621775317376435, 4.774612470120232, 6.6318886673750965, 5.06320845517934, 5.188839875850938, 5.266151753895964, 5.685828898229838, 5.548472020640621, 5.786841552398612, 4.91277153410042, 5.722780815337693, 5.58715281665595, 4.976028731108096, 5.07732624325041, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
46,"[5.04205984658784, 6.498719512349389, 5.966166296903375, 7.011463921625555, 4.302814227709748, 4.07247592833164, 6.6747227575835, 4.661847827506742, 4.896746654218962, 5.256462278323095, 5.163294998959918, 5.1913649754163655, 5.195544608896407, 5.7217883161881264, 6.550581130885248, 5.295089184775215, 5.837338370304444, 4.9573207769812715, 5.523158676982985, 3.886695546479369, 4.977497958288351, 4.533686166087325, 5.339602983850899, 5.03379675938849, 4.177242963577046, 4.381402592066127, 5.044034738998743, 5.871221668500645, 6.358467283989542, 4.287476730312935, 5.204945503139146, 3.2816584623428153, 4.204941068012062, 5.706067527820462, 4.997940199527326, 5.187010538612749, 6.160067569241164, 5.317180772942561, 5.240150751346157, 4.959863707471815, 4.797472443992806, 5.678759837932029, 5.4920607632428196, 5.101126548696896, 5.154709394656586, 4.190427629025532, 5.23448157663536, 4.337858116822016, 4.550351855359659, 4.994852976750693, 5.186133138183722, 5.354131444288969, 5.295473801058766, 5.433352315065358, 4.9000693345380135, 5.359889259523989, 4.942739002196203, 4.897693805568558, 5.68410060860783, 5.181571201763444, 5.034408662233876, 4.8405232653415045, 4.708657122871264, 5.276614553679092, 4.41912018080053, 5.310592173708599, 5.634008895631412, 4.40860067902366, 5.000022417746961, 6.3477344734044, 4.918892159037098, 5.132285486240041, 5.5752616945654765, 5.284404290777372, 3.821195282145559, 5.526046464629753, 5.034078422946575, 4.8262240422248155, 6.409312218119183, 5.719928619573837, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
47,"[7.620898968314185, 5.242480340393057, 4.8306677850978, 3.5101964797448066, 5.457811211414292, 2.799385759669713, 4.7531807459515845, 5.085896954358393, 5.078809671643725, 6.520816026624212, 5.693409914772731, 2.9578936567169434, 5.301346416459803, 6.056739202450533, 4.414864306741189, 4.750219810553759, 5.24433994185158, 5.019931722418115, 5.329245174173462, 4.862504900259034, 5.397450257563496, 4.890611404601639, 6.968250292798514, 4.9408892563990445, 4.699369229658877, 3.377372754204749, 5.21206687738869, 4.748649750497369, 5.938060217937951, 4.752987487890504, 5.6002820236525555, 6.755575819804887, 5.033434509871143, 6.082701637035857, 5.660307094864043, 4.521731703548669, 5.282208722349393, 4.2664179416498, 4.028749512108474, 4.6704496869898, 5.2247610667674405, 4.837862170634255, 5.374810705219733, 4.714952718445088, 4.188117639590285, 4.144679987841189, 4.081466504208673, 4.832650452342554, 5.772965145379551, 5.0846788200328685, 4.965654915939077, 4.56266892819402, 6.3099478535237665, 5.295456142825664, 4.786317870974358, 4.431100952453804, 5.411825039304866, 4.993415558294149, 5.512767966836777, 3.101042107867696, 4.242608223735391, 5.0561131907209695, 5.055407678284368, 5.347874497964363, 5.386583828321273, 5.584532280841436, 5.123746855494952, 4.4980529128679, 5.07689672612686, 4.881446835709943, 5.120150494374392, 5.9827035920909815, 4.328900936034266, 5.128075910288226, 5.550500747569854, 5.765290230395005, 4.735058990143861, 5.7814080081588415, 4.749287675543803, 5.376495836957135, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
48,"[4.932215282794866, 5.694521079791874, 4.908501466785434, 5.577563010485865, 4.749703955537864, 5.883153315470921, 3.109631638942589, 3.1590204439321354, 4.714234729469906, 4.968374817577405, 3.804028749643046, 5.138760086657806, 5.540726363664502, 4.773501528737089, 4.2658463081614855, 5.230967763944468, 5.792137744501922, 5.404578360574501, 5.61757521400386, 4.853821378998745, 6.726612228499995, 5.119199945937379, 5.607600911618551, 4.359542288434775, 5.411237562590631, 4.77175714984156, 4.776498091935333, 5.0747398001830915, 5.622020299390873, 3.6322523659688235, 5.437892468205055, 7.430541927575061, 5.967854795414636, 5.16889125286912, 4.7059121845062695, 4.451307770633569, 5.447850613510832, 5.0962409045149535, 4.711729726350645, 4.8792208554795025, 4.176458818626399, 5.266757143389499, 5.753664929118582, 4.374952692565038, 4.81395150637541, 5.079371451683338, 4.716507061210099, 5.6401229959909145, 5.360011239722254, 5.226387816832606, 5.139108030446588, 3.8651827386955797, 5.10933369584566, 4.320368550460762, 5.222605212884594, 5.300625871507876, 4.515682441281876, 5.249222407973993, 5.312754430314141, 5.571360128640074, 3.5912342060209497, 4.206353259509716, 5.063323306485141, 5.122910045336797, 2.6912802698502745, 5.085497484390081, 5.412765980624874, 4.348843231656803, 6.2092347947730495, 5.690992427005069, 2.3926676060927417, 4.872033355751159, 3.933646063947428, 3.9406989789553735, 4.69780712499939, 3.2256652316564, 6.549217523859037, 5.950751726540701, 5.299740119577937, 5.2157105440418565, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
49,"[4.418174643904145, 5.666571674184018, 5.205871725380252, 5.3298113252637895, 4.9896178008953065, 6.0094402267961105, 3.5638558188414495, 4.950732859625397, 5.6112067427927546, 5.128466378091576, 5.303534763790216, 4.772281638879806, 5.720872501124719, 4.716444888970484, 3.748572489681309, 5.104410448903738, 6.222092938935947, 7.293529136922757, 5.195030866288834, 4.617855561088101, 6.359165622739501, 5.412903154272697, 4.465413401220471, 4.655438223290924, 5.40930192001557, 5.247850921274316, 5.28405739539421, 5.1798126977436985, 5.279453382325889, 4.889286906868121, 5.083886210195507, 4.911371885059184, 5.6775632643989855, 5.081894077157763, 5.892823020785519, 5.720419148891814, 5.802089283906061, 5.4043122787674935, 4.835318517306931, 4.6742611371040494, 5.536899168777892, 4.210096017404711, 5.470833439828368, 3.189758914212123, 4.95217090774549, 4.780056695244583, 5.193298616214191, 5.559189745559036, 5.930927169376598, 5.551180637613479, 5.235211640699221, 6.074074277068986, 6.763570038556076, 5.027945347461653, 4.932488953728578, 4.861030259435063, 3.565090609539722, 5.0733063080070995, 5.515778061383928, 4.99793273912272, 4.382912115005288, 3.996179174520608, 4.759182583828675, 4.517516953285909, 4.737360895825414, 4.806320884990562, 5.905324444677783, 6.10357464190975, 6.324110511282858, 5.21183761101175, 5.449796947126915, 5.272934510690245, 5.41205026782908, 5.1004711221748416, 5.28572411397653, 5.593183511350295, 1.9199836343648606, 4.60143462080078, 4.626340191290265, 4.478036551066697, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
50,"[6.141731985240785, 4.148686267704895, 5.305889438449701, 5.174417510146625, 3.871052972171595, 4.890478883492321, 5.255334444578883, 4.741334045365282, 3.814596981553433, 6.182694041897724, 4.887529202145132, 4.7464919276008395, 6.041730436754142, 5.065470237380733, 4.953043359385104, 5.876342748471204, 5.205448424174369, 5.837362769671077, 4.759260122356521, 5.812397324289772, 5.745592309741959, 5.923160022345624, 4.863534425350935, 6.0273578035901405, 5.942852251106291, 4.435755937724332, 5.455686577457161, 4.92950586059369, 3.764833566115273, 5.715383738013395, 4.913881116471587, 5.919999253374571, 5.950094732318442, 5.046925250078102, 5.194831707882878, 4.6997614243265975, 5.097961206985072, 5.092491593179778, 5.0572030185452705, 6.537898578474856, 5.2209459190077645, 4.87182305117723, 4.4828839767281305, 4.738724183711128, 5.080425232576024, 6.150041797108289, 5.1639196782735866, 5.72966675486534, 5.286036907583006, 5.327662468899694, 3.9168303650907568, 4.2073423927358995, 4.874663011814509, 5.2606914671232, 4.969466568296298, 4.989431676180538, 5.147509201592544, 5.933045058912035, 5.301734114759965, 5.538906516173977, 4.214626264281332, 4.734085654954523, 4.6822265012980555, 4.6606202574700735, 4.774717529114293, 5.0509494088735805, 5.507088000947736, 5.283741694452354, 5.164595520768779, 4.878201275472801, 4.534437087070387, 5.3770350774373705, 4.046497101068965, 5.105580685871944, 4.719802932960588, 3.284810751068976, 5.800603539275947, 5.574241983607026, 4.752678090820844, 5.721497236480364, 5.145755808548828, 5.145824087872295, 5.146070012013076, 5.145393762307641, 5.146096539077341, 5.1453407177970245, 5.144934790491882, 5.1465584977624825, 5.144365651254307, 5.14766761780435, 5.147817566532646, 5.148383523625296, 5.142601704088051, 5.149051176116564, 5.149223842836718, 5.142012607467212, 5.141931935176305, 5.149609246344301, 5.149863107435478, 5.141185220650172]"
